Project,Bug_id,Average_coverage_buggy_files,Average_coverage_stack_trace_files,Average_all_files_coverage,Average_buggy_methods_coverage,Average_st_methods_coverage,Pos_first_buggy_method_in_stack_trace
Compress,32,65.79925650557621,65.79925650557621,53.67688320662784,73.07692307692308,82.27564102564104,4
Compress,34,72.72727272727273,67.39765545440457,53.70264868067084,58.333333333333336,76.35070719143971,2
Csv,12,N/A,68.02721088435374,63.45089862252598,N/A,84.0,
Csv,4,67.85714285714286,67.85714285714286,63.478177689908065,50.0,50.0,3
Gson,12,71.4975845410628,71.4975845410628,53.212262157158854,87.5,87.5,1
Gson,5,0.0,50.35810228494314,53.31433304488017,0.0,58.34338871371978,15
Gson,8,22.22222222222222,22.22222222222222,53.07430427253707,0.0,50.0,2
JacksonCore,11,71.63636363636364,71.7287421630094,52.81776527489654,87.5,83.11414355532003,
JacksonCore,4,75.08305647840531,72.36666161205386,52.05057065197148,85.71428571428571,82.67857142857143,1
JacksonCore,7,54.11503941645386,56.26168818777432,52.05382312022158,50.71172248803828,58.333333333333336,
JacksonCore,10,71.81818181818181,71.8196512539185,51.88579288355908,78.91483516483517,67.31402831402832,
JacksonDatabind,14,36.20352250489237,53.787358291485916,43.34088081342764,75.0,61.92102928127772,8
JacksonDatabind,15,58.7094562705465,49.091887432882245,43.237016262186046,49.59883866133866,79.64646464646464,3
JacksonDatabind,25,55.33250427081061,60.851778552009954,42.763436179612064,77.22915222915223,71.57829806857266,
JacksonDatabind,28,38.42207539836766,51.62374763218222,43.782079831273045,44.44444444444444,70.67684857730625,4
JacksonDatabind,32,49.03225806451613,58.38026506095221,43.753416756587825,43.10344827586207,64.34225988001732,
JacksonDatabind,37,44.96527777777778,53.84022233028668,42.705445032876796,65.83333333333334,72.00396825396825,
JacksonDatabind,59,33.2541567695962,5.583717760508637,20.926086032663154,0.0,4.678571428571429,
JacksonDatabind,73,72.60982378393594,51.494743400163365,42.68121289050554,81.25,67.76424963924964,
JacksonDatabind,9,28.183831672203766,N/A,43.25492539319259,70.76923076923077,N/A,
JacksonDatabind,3,64.63414634146342,59.11133154393745,43.52427650931398,75.0,80.35714285714286,1
Jsoup,27,63.63636363636363,49.355495251017636,58.88656064502046,83.33333333333333,35.990338164251206,
Jsoup,34,74.57627118644068,57.723911326254246,58.79266138678578,91.66666666666667,68.12169312169313,1
Jsoup,54,65.68627450980392,72.4264705882353,59.756928790326,80.0,84.46638655462185,1
Jsoup,78,33.58812451534286,63.058027438750024,57.83797197500988,47.916666666666664,73.33000333000334,6
Jsoup,80,78.16091954022988,60.28455437523981,57.86467121846946,91.66666666666667,74.40476190476191,4
Jsoup,82,62.091503267973856,65.14325463034017,57.86467121846946,95.83333333333333,76.0,
Jsoup,84,66.34615384615384,72.75641025641025,59.931692627956515,95.83333333333333,85.58298319327731,4
Jsoup,90,61.1183355006502,61.1183355006502,57.85216693576243,38.888888888888886,71.44510582010582,1
JxPath,5,53.333333333333336,51.7298935376902,48.994479412616386,70.0,68.99019607843137,1
Lang,19,83.33333333333333,60.880575697648865,63.386904997802766,92.3076923076923,74.26739926739927,2
Lang,37,82.32235701906413,82.32235701906413,64.66964473283184,80.0,80.0,1
Lang,6,71.7948717948718,54.492477219749944,63.461330921103375,94.44444444444444,60.714285714285715,3
Lang,61,83.69704749679076,41.84852374839538,65.48022678798749,94.44444444444444,56.71296296296296,
Math,79,76.07003891050584,81.81818181818181,64.70908079509371,83.33333333333333,83.33333333333333,
Math,81,82.75862068965517,82.75862068965517,64.70611308379266,92.74070494654285,87.26309535820046,1
Math,97,64.23821486626274,76.23762376237623,61.17840897455192,27.333333333333336,61.904761904761905,1
Mockito,17,55.52427867698803,N/A,47.84676760548953,58.730158730158735,N/A,
Mockito,22,55.0,N/A,48.12547937469628,83.33333333333333,N/A,
Mockito,25,31.307870370370374,N/A,48.6312625068915,54.16666666666667,N/A,
Mockito,30,31.890284203569067,N/A,48.47908889463025,31.0159632034632,N/A,
Mockito,31,44.11764705882353,N/A,48.47908889463025,60.0,N/A,
Mockito,35,49.99772188809914,54.79431336963098,48.781798788599325,50.0,74.46153846153847,
Mockito,4,26.432532347504623,46.27374800001583,48.71541675652459,35.91568206229861,73.63247863247864,3
Mockito,5,63.63636363636363,N/A,48.675109979622796,93.75,N/A,
Time,10,66.34615384615384,63.406345120597635,57.814763046558774,92.3076923076923,79.39519189519189,4
Time,14,57.66423357664234,62.79546209031637,56.00091401857155,80.0,66.74388674388673,3
